,Dataset,Number of Keypoints,Detector/Descriptor
502,Gravel_Pit,92.66350710900474,BRISK
503,Gravel_Pit,74.45971563981043,BRISK
504,Gravel_Pit,109.78199052132702,BRISK
505,Gravel_Pit,124.37914691943128,BRISK
506,Gravel_Pit,115.25118483412322,BRISK
507,Gravel_Pit,153.01421800947867,BRISK
508,Gravel_Pit,173.4170616113744,BRISK
509,Gravel_Pit,167.45497630331752,BRISK
510,Gravel_Pit,126.96208530805687,BRISK
511,Gravel_Pit,117.260663507109,BRISK
512,Gravel_Pit,110.63507109004739,BRISK
513,Gravel_Pit,129.45023696682463,BRISK
514,Gravel_Pit,120.56872037914692,BRISK
515,Gravel_Pit,109.7914691943128,BRISK
516,Gravel_Pit,142.64928909952607,BRISK
517,Gravel_Pit,98.32701421800948,BRISK
518,Gravel_Pit,101.85781990521328,BRISK
519,Gravel_Pit,120.1611374407583,BRISK
520,Gravel_Pit,122.15165876777252,BRISK
521,Gravel_Pit,90.31279620853081,BRISK
522,Gravel_Pit,125.62559241706161,BRISK
523,Gravel_Pit,137.23222748815166,BRISK
524,Gravel_Pit,122.06635071090048,BRISK
525,Gravel_Pit,112.6303317535545,BRISK
